epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3930.27,0.94298,1.83073,1.03082,1.26727,0.74251,0.54302,0.60061,0.40177,0.7228,0.5185,0.5564,0.32427,1.2214,2.14452,1.39639,1.42022,0.0094258,0.0094258,0.0094258
31,4061.23,0.95693,1.89954,1.06219,1.26372,0.70909,0.57724,0.62179,0.40513,0.71725,0.58279,0.62638,0.3711,1.20233,1.95428,1.33997,1.37496,0.009406,0.009406,0.009406
32,4192.01,0.94448,1.88378,1.03088,1.26227,0.7456,0.59389,0.64878,0.42934,0.73214,0.59297,0.63189,0.37274,1.19231,2.02776,1.31595,1.37001,0.0093862,0.0093862,0.0093862
33,4322.43,0.93586,1.81326,1.00882,1.25073,0.72892,0.5444,0.6181,0.4244,0.703,0.5185,0.56197,0.3478,1.16071,2.13956,1.28929,1.36104,0.0093664,0.0093664,0.0093664
34,4453.32,0.93456,1.83504,1.00372,1.24678,0.76176,0.60192,0.65911,0.45093,0.73409,0.60143,0.63275,0.39188,1.16247,1.99623,1.21897,1.3446,0.0093466,0.0093466,0.0093466
35,4583.63,0.92284,1.81086,1.01301,1.24734,0.73585,0.603,0.66434,0.45954,0.71092,0.58466,0.62302,0.37965,1.15146,1.9837,1.2329,1.31677,0.0093268,0.0093268,0.0093268
36,4713,0.90572,1.80659,0.97604,1.22867,0.72516,0.58141,0.62999,0.42631,0.69233,0.56568,0.59403,0.35486,1.17953,2.08124,1.33142,1.37152,0.009307,0.009307,0.009307
37,4843.12,0.92159,1.8235,0.97772,1.23892,0.7488,0.61632,0.6553,0.45427,0.75714,0.59699,0.63329,0.39549,1.14376,1.98753,1.28151,1.31915,0.0092872,0.0092872,0.0092872
38,4973.54,0.89807,1.77217,0.95477,1.22676,0.79704,0.61101,0.68752,0.47158,0.76891,0.6013,0.65671,0.40219,1.142,2.03572,1.14132,1.30627,0.0092674,0.0092674,0.0092674
39,5104.01,0.91928,1.78224,0.96572,1.23176,0.78415,0.60222,0.67003,0.44723,0.76981,0.58649,0.63021,0.37785,1.19184,2.05958,1.25059,1.38681,0.0092476,0.0092476,0.0092476
40,5234.77,0.89183,1.70361,0.93613,1.21537,0.70347,0.63645,0.66893,0.46012,0.72138,0.59898,0.64743,0.39046,1.1462,2.02425,1.21529,1.33082,0.0092278,0.0092278,0.0092278
41,5365.57,0.88129,1.70447,0.92866,1.21621,0.78296,0.63922,0.70781,0.48608,0.7691,0.63475,0.68709,0.42148,1.14715,1.91488,1.141,1.28389,0.009208,0.009208,0.009208
42,5496.54,0.89019,1.75384,0.95758,1.22255,0.81769,0.63895,0.70562,0.48429,0.81142,0.63487,0.69343,0.42376,1.1259,1.93461,1.11872,1.29606,0.0091882,0.0091882,0.0091882
43,5626.94,0.8767,1.69291,0.93282,1.2079,0.75266,0.63182,0.69444,0.4675,0.75952,0.61563,0.66875,0.4145,1.14344,1.89976,1.17303,1.31054,0.0091684,0.0091684,0.0091684
44,5757.24,0.87462,1.69448,0.92146,1.19898,0.78257,0.62627,0.69652,0.47643,0.78832,0.60978,0.6749,0.41515,1.13116,1.91973,1.14558,1.30571,0.0091486,0.0091486,0.0091486
45,5887.99,0.89298,1.72431,0.93804,1.21012,0.79175,0.62766,0.70263,0.49115,0.76637,0.6087,0.65363,0.40507,1.08099,1.94752,1.10001,1.26092,0.0091288,0.0091288,0.0091288
46,6018.03,0.86592,1.68887,0.90991,1.19645,0.79057,0.66559,0.71884,0.5032,0.77134,0.6494,0.69199,0.42706,1.09676,1.92663,1.08816,1.26483,0.009109,0.009109,0.009109
47,6148.45,0.85967,1.64741,0.89846,1.19385,0.80286,0.65865,0.73086,0.50906,0.75694,0.63414,0.66011,0.41078,1.09193,1.91973,1.08,1.2755,0.0090892,0.0090892,0.0090892
48,6279.08,0.8707,1.67985,0.90985,1.19811,0.79677,0.6309,0.71081,0.49975,0.76732,0.63506,0.68943,0.42972,1.08924,1.84485,1.11049,1.26228,0.0090694,0.0090694,0.0090694
49,6409.66,0.87217,1.63084,0.89576,1.19645,0.80778,0.63561,0.71915,0.51384,0.80014,0.6296,0.69673,0.43903,1.0675,1.86231,1.06322,1.26754,0.0090496,0.0090496,0.0090496
50,6540.14,0.84425,1.62744,0.87998,1.19143,0.83005,0.63254,0.71737,0.5049,0.81197,0.61518,0.6931,0.43701,1.08939,1.81839,1.08758,1.24465,0.0090298,0.0090298,0.0090298
51,6676.59,0.86508,1.68995,0.91384,1.19139,0.78611,0.65634,0.71541,0.50273,0.78403,0.65149,0.6951,0.43911,1.08553,1.74704,1.10116,1.24325,0.00901,0.00901,0.00901
52,6815.59,0.84491,1.65008,0.88543,1.18681,0.78978,0.6568,0.72199,0.51068,0.79221,0.64542,0.70156,0.43251,1.06955,1.84932,1.11099,1.23164,0.0089902,0.0089902,0.0089902
53,6955.59,0.84915,1.63008,0.87843,1.18714,0.8271,0.6642,0.74416,0.5274,0.81905,0.65741,0.72066,0.45939,1.06953,1.82496,1.01877,1.24844,0.0089704,0.0089704,0.0089704
54,7094.89,0.85432,1.60761,0.88453,1.20317,0.81834,0.66259,0.74405,0.52487,0.8083,0.65531,0.72821,0.45688,1.07487,1.8052,0.99109,1.2472,0.0089506,0.0089506,0.0089506
